issue_month,grade,purpose,total_cnt,bad_rate,grade_avg_rate,ratio
2016-06-01,D,house,38,15.789473684210526,18.88392967228072,0.836132836662039
2016-06-01,D,major_purchase,77,23.376623376623375,18.88392967228072,1.2379109529801615
2016-06-01,D,medical,78,25.64102564102564,18.88392967228072,1.3578225552631402
2016-06-01,D,moving,46,26.08695652173913,18.88392967228072,1.3814368605720644
2016-06-01,D,other,324,21.91358024691358,18.88392967228072,1.1604353875072948
2016-06-01,D,small_business,68,42.64705882352941,18.88392967228072,2.2583783970626645
2016-06-01,E,credit_card,179,36.87150837988827,26.68775204771489,1.3815891392413229
2016-06-01,E,debt_consolidation,1009,34.093161546085234,26.68775204771489,1.2774834495288419
2016-06-01,E,home_improvement,106,25.471698113207548,26.68775204771489,0.9544340065685125
2016-06-01,E,other,129,27.906976744186046,26.68775204771489,1.0456848030621428
2016-06-01,E,small_business,35,37.142857142857146,26.68775204771489,1.3917566783612807
2016-06-01,F,credit_card,62,43.54838709677419,34.89234449760766,1.2480785606068983
2016-06-01,F,debt_consolidation,450,42.0,34.89234449760766,1.203702434007542
2016-06-01,F,home_improvement,35,34.285714285714285,34.89234449760766,0.9826142318428913
2016-06-01,F,other,49,42.857142857142854,34.89234449760766,1.228267789803614
2016-06-01,G,debt_consolidation,122,39.34426229508197,38.06706114398422,1.0335513463008579
2016-07-01,A,car,88,10.227272727272728,3.282474302988035,3.115720576384359
2016-07-01,A,credit_card,1192,5.117449664429531,3.282474302988035,1.5590220035450446
2016-07-01,A,debt_consolidation,1998,5.355355355355355,3.282474302988035,1.6314995521763498
2016-07-01,A,home_improvement,455,4.615384615384616,3.282474302988035,1.4060687729324286
2016-07-01,A,major_purchase,148,5.405405405405405,3.282474302988035,1.646747211542484
2016-07-01,A,other,174,6.321839080459771,3.282474302988035,1.9259371123499742
2016-07-01,A,vacation,34,11.76470588235294,3.282474302988035,3.5840968721807
2016-07-01,B,car,160,7.5,7.9361682568340015,0.9450404473899091
2016-07-01,B,credit_card,2401,11.536859641815909,7.9361682568340015,1.4537065329835057
2016-07-01,B,debt_consolidation,6188,11.732385261797026,7.9361682568340015,1.478343815567925
2016-07-01,B,home_improvement,863,11.239860950173812,7.9361682568340015,1.4162830961270172
2016-07-01,B,major_purchase,305,9.836065573770492,7.9361682568340015,1.23939730805234
2016-07-01,B,medical,124,16.93548387096774,7.9361682568340015,2.133962300557859
2016-07-01,B,moving,62,14.516129032258066,7.9361682568340015,1.829110543335308
2016-07-01,B,other,653,10.10719754977029,7.9361682568340015,1.2735613992390813
2016-07-01,B,small_business,44,6.8181818181818175,7.9361682568340015,0.8591276794453718
2016-07-01,B,vacation,116,10.344827586206897,7.9361682568340015,1.303504065365392
2016-07-01,C,car,122,11.475409836065573,13.199692948113462,0.8693694528481946
2016-07-01,C,credit_card,1904,17.962184873949578,13.199692948113462,1.360803235693205
2016-07-01,C,debt_consolidation,7039,17.900269924705213,13.199692948113462,1.3561126001240484
2016-07-01,C,home_improvement,751,16.511318242343542,13.199692948113462,1.2508865401072369
2016-07-01,C,house,64,12.5,13.199692948113462,0.9469917254239263
2016-07-01,C,major_purchase,248,17.741935483870968,13.199692948113462,1.3441172876984762
2016-07-01,C,medical,175,19.428571428571427,13.199692948113462,1.4718957103731882
2016-07-01,C,moving,120,13.333333333333334,13.199692948113462,1.0101245071188547
2016-07-01,C,other,967,16.959669079627716,13.199692948113462,1.284853302746837
2016-07-01,C,small_business,139,19.424460431654676,13.199692948113462,1.4715842639681156
2016-07-01,C,vacation,155,15.483870967741936,13.199692948113462,1.17304781471867
2016-07-01,D,car,49,8.16326530612245,18.88392967228072,0.4322863645327549
2016-07-01,D,credit_card,623,22.953451043338685,18.88392967228072,1.2155018283631676
2016-07-01,D,debt_consolidation,3281,25.693386162755257,18.88392967228072,1.3605953108621232
2016-07-01,D,home_improvement,324,20.679012345679013,18.88392967228072,1.0950587459575882
2016-07-01,D,house,39,28.205128205128204,18.88392967228072,1.4936048107894544
2016-07-01,D,major_purchase,93,19.35483870967742,18.88392967228072,1.0249370255857253
2016-07-01,D,medical,67,26.865671641791046,18.88392967228072,1.422673781783171
2016-07-01,D,moving,72,15.277777777777779,18.88392967228072,0.8090359391776212
2016-07-01,D,other,447,23.042505592841163,18.88392967228072,1.2202177191257348
2016-07-01,D,small_business,79,24.050632911392405,18.88392967228072,1.273603181582262
2016-07-01,D,vacation,44,9.090909090909092,18.88392967228072,0.4814098150478407
2016-07-01,E,credit_card,192,33.85416666666667,26.68775204771489,1.2685282224647092
2016-07-01,E,debt_consolidation,1210,32.892561983471076,26.68775204771489,1.2324965371629142
2016-07-01,E,home_improvement,122,27.86885245901639,26.68775204771489,1.0442562719104185
2016-07-01,E,other,161,33.54037267080746,26.68775204771489,1.2567702446740663
2016-07-01,E,small_business,36,33.33333333333333,26.68775204771489,1.2490124036575594
2016-07-01,F,credit_card,59,33.89830508474576,34.89234449760766,0.9715112461723501
2016-07-01,F,debt_consolidation,504,43.65079365079365,34.89234449760766,1.2510134896147922
2016-07-01,F,home_improvement,42,40.476190476190474,34.89234449760766,1.1600306903700799
2016-07-01,F,other,58,37.93103448275862,34.89234449760766,1.0870875840790608
2016-07-01,F,small_business,34,47.05882352941176,34.89234449760766,1.3486862005686742
2016-07-01,G,debt_consolidation,129,42.63565891472868,38.06706114398422,1.1200144595734425
2016-08-01,A,car,81,3.7037037037037033,3.282474302988035,1.128326793093924
2016-08-01,A,credit_card,1110,4.414414414414415,3.282474302988035,1.3448435560930285
2016-08-01,A,debt_consolidation,1777,5.177265053460889,3.282474302988035,1.5772446561875677
2016-08-01,A,home_improvement,375,5.6000000000000005,3.282474302988035,1.7060301111580134
2016-08-01,A,major_purchase,131,2.2900763358778624,3.282474302988035,0.6976677117603652
2016-08-01,A,medical,38,5.263157894736842,3.282474302988035,1.6034117586071552
2016-08-01,A,other,164,5.487804878048781,3.282474302988035,1.671850065376973
2016-08-01,A,vacation,45,8.88888888888889,3.282474302988035,2.7079843034254183
2016-08-01,B,car,163,11.042944785276074,7.9361682568340015,1.3914705973839152
2016-08-01,B,credit_card,3125,10.432,7.9361682568340015,1.314488259622871
2016-08-01,B,debt_consolidation,7212,11.17581808097615,7.9361682568340015,1.4082133492258582
2016-08-01,B,home_improvement,912,9.978070175438598,7.9361682568340015,1.2572906536912536
2016-08-01,B,house,32,9.375,7.9361682568340015,1.1813005592373864
2016-08-01,B,major_purchase,298,9.395973154362416,7.9361682568340015,1.1839432897949644
2016-08-01,B,medical,139,10.79136690647482,7.9361682568340015,1.3597704278991498
2016-08-01,B,moving,79,7.59493670886076,7.9361682568340015,0.9570029846986422
2016-08-01,B,other,770,10.649350649350648,7.9361682568340015,1.3418756136099141
2016-08-01,B,small_business,81,18.51851851851852,7.9361682568340015,2.3334332034318743
2016-08-01,B,vacation,94,8.51063829787234,7.9361682568340015,1.0723863232793296
2016-08-01,C,car,119,14.285714285714285,13.199692948113462,1.0822762576273444
2016-08-01,C,credit_card,1831,17.91370835608957,13.199692948113462,1.3571306867899413
2016-08-01,C,debt_consolidation,6882,17.07352513804127,13.199692948113462,1.2934789623633984
2016-08-01,C,home_improvement,802,16.458852867830423,13.199692948113462,1.2469117980644215
2016-08-01,C,house,63,12.698412698412698,13.199692948113462,0.9620233401131949
2016-08-01,C,major_purchase,279,12.186379928315413,13.199692948113462,0.9232320763989532
2016-08-01,C,medical,137,18.97810218978102,13.199692948113462,1.4377684590377857
2016-08-01,C,moving,123,21.138211382113823,13.199692948113462,1.6014169015298918
2016-08-01,C,other,958,14.822546972860126,13.199692948113462,1.1229463466404805
2016-08-01,C,small_business,114,21.052631578947366,13.199692948113462,1.5949334322929283
2016-08-01,C,vacation,125,11.200000000000001,13.199692948113462,0.848504585979838
2016-08-01,D,car,41,21.951219512195124,18.88392967228072,1.1624285777984447
2016-08-01,D,credit_card,662,24.018126888217523,18.88392967228072,1.2718818225357602
2016-08-01,D,debt_consolidation,3259,25.099723841669224,18.88392967228072,1.3291578753606843
2016-08-01,D,home_improvement,302,18.543046357615893,18.88392967228072,0.9819484969187743
2016-08-01,D,house,45,35.55555555555556,18.88392967228072,1.8828472766315547
2016-08-01,D,major_purchase,115,18.26086956521739,18.88392967228072,0.9670058024004451
2016-08-01,D,medical,51,17.647058823529413,18.88392967228072,0.9345014056811025
2016-08-01,D,moving,81,25.925925925925924,18.88392967228072,1.3729094725438418
2016-08-01,D,other,449,24.276169265033406,18.88392967228072,1.2855464771544787
2016-08-01,D,small_business,87,28.735632183908045,18.88392967228072,1.5216976912431746
2016-08-01,D,vacation,37,27.027027027027028,18.88392967228072,1.431218369061148
2016-08-01,E,credit_card,187,31.550802139037433,26.68775204771489,1.1822202965100965
2016-08-01,E,debt_consolidation,1313,30.540746382330543,26.68775204771489,1.1443731314547176
2016-08-01,E,home_improvement,112,33.92857142857143,26.68775204771489,1.2713161965800162
2016-08-01,E,major_purchase,42,42.857142857142854,26.68775204771489,1.605873090416862
2016-08-01,E,other,190,26.31578947368421,26.68775204771489,0.9860624239401785
2016-08-01,E,small_business,36,27.77777777777778,26.68775204771489,1.040843669714633
2016-08-01,F,credit_card,74,32.432432432432435,34.89234449760766,0.929499949040573
2016-08-01,F,debt_consolidation,599,42.40400667779633,34.89234449760766,1.2152810964222738
2016-08-01,F,home_improvement,45,24.444444444444443,34.89234449760766,0.7005675541842836
2016-08-01,F,other,58,48.275862068965516,34.89234449760766,1.3835660161006227
2016-08-01,G,debt_consolidation,148,50.67567567567568,38.06706114398422,1.3312211174905477
2016-09-01,A,car,54,5.555555555555555,3.282474302988035,1.6924901896408862
2016-09-01,A,credit_card,940,3.404255319148936,3.282474302988035,1.037100371524628
2016-09-01,A,debt_consolidation,1434,4.044630404463041,3.282474302988035,1.2321895104498504
2016-09-01,A,home_improvement,330,3.3333333333333335,3.282474302988035,1.0154941137845317
2016-09-01,A,major_purchase,91,0.0,3.282474302988035,0.0
2016-09-01,A,medical,59,3.389830508474576,3.282474302988035,1.0327058784249474
2016-09-01,A,other,150,2.666666666666667,3.282474302988035,0.8123952910276255
2016-09-01,B,car,113,7.079646017699115,7.9361682568340015,0.8920735786571414
2016-09-01,B,credit_card,1976,8.04655870445344,7.9361682568340015,1.0139097917341129
2016-09-01,B,debt_consolidation,4664,9.391080617495712,7.9361682568340015,1.1833268037643803
2016-09-01,B,home_improvement,655,8.244274809160306,7.9361682568340015,1.0388230872072284
2016-09-01,B,major_purchase,242,8.677685950413224,7.9361682568340015,1.0934352283850188
2016-09-01,B,medical,134,14.17910447761194,7.9361682568340015,1.7866436318814203
2016-09-01,B,moving,60,5.0,7.9361682568340015,0.630026964926606
2016-09-01,B,other,486,9.25925925925926,7.9361682568340015,1.1667166017159372
2016-09-01,B,small_business,78,8.974358974358974,7.9361682568340015,1.1308176293554468
2016-09-01,B,vacation,60,10.0,7.9361682568340015,1.260053929853212
2016-09-01,C,car,126,15.079365079365079,13.199692948113462,1.142402716384419
2016-09-01,C,credit_card,1593,16.698053986189578,13.199692948113462,1.265033516448283
2016-09-01,C,debt_consolidation,5685,15.145118733509236,13.199692948113462,1.1473841696956912
2016-09-01,C,home_improvement,727,15.955983493810177,13.199692948113462,1.208814747171119
2016-09-01,C,house,46,8.695652173913043,13.199692948113462,0.6587768524688182
2016-09-01,C,major_purchase,250,16.8,13.199692948113462,1.272756878969757
2016-09-01,C,medical,139,20.863309352517987,13.199692948113462,1.5805905057435319
2016-09-01,C,moving,101,15.841584158415841,13.199692948113462,1.2001479292501245
2016-09-01,C,other,833,12.605042016806722,13.199692948113462,0.9549496390829508
2016-09-01,C,small_business,112,25.892857142857146,13.199692948113462,1.961625716949562
2016-09-01,C,vacation,94,14.893617021276595,13.199692948113462,1.1283305664625505
2016-09-01,D,car,55,21.818181818181817,18.88392967228072,1.1553835561148176
2016-09-01,D,credit_card,515,26.407766990291265,18.88392967228072,1.3984254044884847
2016-09-01,D,debt_consolidation,2762,25.05430847212165,18.88392967228072,1.3267529008487193
2016-09-01,D,home_improvement,274,19.708029197080293,18.88392967228072,1.0436402559796254
2016-09-01,D,house,35,22.857142857142858,18.88392967228072,1.2104018206917138
2016-09-01,D,major_purchase,106,20.754716981132077,18.88392967228072,1.0990676909582777
2016-09-01,D,medical,53,16.9811320754717,18.88392967228072,0.8992372016931364
2016-09-01,D,moving,48,20.833333333333336,18.88392967228072,1.1032308261513015
2016-09-01,D,other,433,14.318706697459586,18.88392967228072,0.7582482537243126
2016-09-01,D,small_business,70,24.285714285714285,18.88392967228072,1.2860519344849457
2016-09-01,E,credit_card,160,30.0,26.68775204771489,1.1241111632918035
2016-09-01,E,debt_consolidation,1044,30.45977011494253,26.68775204771489,1.141338920583632
2016-09-01,E,home_improvement,118,28.8135593220339,26.68775204771489,1.0796547896022972
2016-09-01,E,major_purchase,45,35.55555555555556,26.68775204771489,1.3322798972347303
2016-09-01,E,other,145,29.655172413793103,26.68775204771489,1.1111903453229324
2016-09-01,E,small_business,39,35.8974358974359,26.68775204771489,1.3450902808619871
2016-09-01,F,credit_card,46,36.95652173913043,34.89234449760766,1.0591584564248555
2016-09-01,F,debt_consolidation,452,38.93805309734513,34.89234449760766,1.115948316399744
2016-09-01,F,home_improvement,35,34.285714285714285,34.89234449760766,0.9826142318428913
2016-09-01,F,other,50,30.0,34.89234449760766,0.8597874528625299
2016-09-01,G,debt_consolidation,102,50.0,38.06706114398422,1.3134715025906736
2016-10-01,A,car,60,3.3333333333333335,3.282474302988035,1.0154941137845317
2016-10-01,A,credit_card,1147,3.225806451612903,3.282474302988035,0.982736239146321
