issue_month,grade,purpose,total_cnt,bad_rate
2015-08-01,F,home_improvement,73,42.465753424657535
2015-08-01,F,other,72,36.11111111111111
2015-08-01,F,small_business,32,46.875
2015-08-01,G,debt_consolidation,112,48.214285714285715
2015-09-01,A,car,49,2.0408163265306123
2015-09-01,A,credit_card,1792,4.520089285714286
2015-09-01,A,debt_consolidation,2388,4.941373534338359
2015-09-01,A,home_improvement,371,4.5822102425876015
2015-09-01,A,major_purchase,136,4.411764705882353
2015-09-01,A,other,103,5.825242718446602
2015-09-01,B,car,67,10.44776119402985
2015-09-01,B,credit_card,2424,11.922442244224422
2015-09-01,B,debt_consolidation,4364,11.801099908340971
2015-09-01,B,home_improvement,563,12.078152753108348
2015-09-01,B,major_purchase,133,9.022556390977442
2015-09-01,B,medical,57,10.526315789473683
2015-09-01,B,other,244,13.934426229508196
2015-09-01,C,car,62,24.193548387096776
2015-09-01,C,credit_card,1800,20.11111111111111
2015-09-01,C,debt_consolidation,4744,20.299325463743674
2015-09-01,C,home_improvement,520,19.615384615384617
2015-09-01,C,major_purchase,138,18.115942028985508
2015-09-01,C,medical,97,20.618556701030926
2015-09-01,C,moving,69,21.73913043478261
2015-09-01,C,other,448,17.410714285714285
2015-09-01,C,small_business,53,24.528301886792452
2015-09-01,C,vacation,60,13.333333333333334
2015-09-01,D,credit_card,710,28.732394366197184
2015-09-01,D,debt_consolidation,2776,26.476945244956774
2015-09-01,D,home_improvement,223,19.282511210762333
2015-09-01,D,major_purchase,71,30.985915492957744
2015-09-01,D,medical,61,19.672131147540984
2015-09-01,D,moving,51,29.411764705882355
2015-09-01,D,other,283,22.968197879858657
2015-09-01,D,small_business,64,18.75
2015-09-01,D,vacation,32,34.375
2015-09-01,E,credit_card,342,38.88888888888889
2015-09-01,E,debt_consolidation,1777,33.258300506471585
2015-09-01,E,home_improvement,149,26.845637583892618
2015-09-01,E,major_purchase,38,39.473684210526315
2015-09-01,E,medical,32,34.375
2015-09-01,E,other,157,27.388535031847134
2015-09-01,E,small_business,63,34.92063492063492
2015-09-01,F,credit_card,46,32.608695652173914
2015-09-01,F,debt_consolidation,481,46.98544698544699
2015-09-01,F,home_improvement,45,44.44444444444444
2015-09-01,F,other,60,41.66666666666667
2015-09-01,G,debt_consolidation,81,51.85185185185185
2015-10-01,A,car,108,3.7037037037037033
2015-10-01,A,credit_card,3285,5.6316590563165905
2015-10-01,A,debt_consolidation,4239,5.119131870724227
2015-10-01,A,home_improvement,675,5.185185185185185
2015-10-01,A,major_purchase,189,3.1746031746031744
2015-10-01,A,medical,53,3.7735849056603774
2015-10-01,A,other,164,3.048780487804878
2015-10-01,B,car,148,6.756756756756757
2015-10-01,B,credit_card,4555,10.976948408342482
2015-10-01,B,debt_consolidation,8031,11.654837504669405
2015-10-01,B,home_improvement,928,11.422413793103448
2015-10-01,B,major_purchase,226,7.964601769911504
2015-10-01,B,medical,124,8.064516129032258
2015-10-01,B,moving,42,14.285714285714285
2015-10-01,B,other,526,10.456273764258556
2015-10-01,B,small_business,45,4.444444444444445
2015-10-01,B,vacation,44,6.8181818181818175
2015-10-01,C,car,111,11.711711711711711
2015-10-01,C,credit_card,3028,18.59313077939234
2015-10-01,C,debt_consolidation,8380,19.737470167064437
2015-10-01,C,home_improvement,839,16.924910607866508
2015-10-01,C,house,45,20.0
2015-10-01,C,major_purchase,252,20.634920634920633
2015-10-01,C,medical,171,18.128654970760234
2015-10-01,C,moving,89,11.235955056179774
2015-10-01,C,other,747,18.340026773761714
2015-10-01,C,small_business,104,16.346153846153847
2015-10-01,C,vacation,102,17.647058823529413
2015-10-01,D,car,34,38.23529411764706
2015-10-01,D,credit_card,1056,28.97727272727273
2015-10-01,D,debt_consolidation,4158,26.334776334776333
2015-10-01,D,home_improvement,419,25.059665871121716
2015-10-01,D,house,37,27.027027027027028
2015-10-01,D,major_purchase,103,22.330097087378643
2015-10-01,D,medical,112,28.57142857142857
2015-10-01,D,moving,65,24.615384615384617
2015-10-01,D,other,479,24.008350730688935
2015-10-01,D,small_business,102,29.411764705882355
2015-10-01,D,vacation,42,14.285714285714285
2015-10-01,E,credit_card,404,33.910891089108915
2015-10-01,E,debt_consolidation,2439,33.82533825338253
2015-10-01,E,home_improvement,209,23.444976076555022
2015-10-01,E,major_purchase,73,36.986301369863014
2015-10-01,E,medical,43,27.906976744186046
2015-10-01,E,other,216,34.25925925925926
2015-10-01,E,small_business,68,35.294117647058826
2015-10-01,F,credit_card,66,50.0
2015-10-01,F,debt_consolidation,656,42.68292682926829
2015-10-01,F,home_improvement,62,38.70967741935484
2015-10-01,F,other,61,34.42622950819672
2015-10-01,G,debt_consolidation,141,52.4822695035461
2015-11-01,A,car,71,4.225352112676056
2015-11-01,A,credit_card,2505,5.30938123752495
2015-11-01,A,debt_consolidation,3084,5.382619974059663
2015-11-01,A,home_improvement,502,6.573705179282868
2015-11-01,A,major_purchase,134,7.462686567164178
2015-11-01,A,medical,34,0.0
2015-11-01,A,other,153,5.228758169934641
2015-11-01,B,car,99,9.090909090909092
2015-11-01,B,credit_card,3529,11.079625956361577
2015-11-01,B,debt_consolidation,6299,12.09715827909192
2015-11-01,B,home_improvement,782,11.508951406649617
2015-11-01,B,major_purchase,221,10.85972850678733
2015-11-01,B,medical,108,11.11111111111111
2015-11-01,B,moving,45,13.333333333333334
2015-11-01,B,other,472,12.076271186440678
2015-11-01,B,vacation,53,13.20754716981132
2015-11-01,C,car,83,20.481927710843372
2015-11-01,C,credit_card,2356,19.482173174872667
2015-11-01,C,debt_consolidation,6563,20.874600030473868
2015-11-01,C,home_improvement,677,19.64549483013294
2015-11-01,C,major_purchase,235,12.76595744680851
2015-11-01,C,medical,147,17.006802721088434
2015-11-01,C,moving,80,23.75
2015-11-01,C,other,728,18.269230769230766
2015-11-01,C,small_business,121,21.487603305785125
2015-11-01,C,vacation,65,20.0
2015-11-01,D,car,35,28.57142857142857
2015-11-01,D,credit_card,731,27.49658002735978
2015-11-01,D,debt_consolidation,3139,28.098120420516086
2015-11-01,D,home_improvement,302,26.490066225165563
2015-11-01,D,major_purchase,88,29.545454545454547
2015-11-01,D,medical,69,37.68115942028986
2015-11-01,D,moving,55,23.636363636363637
2015-11-01,D,other,317,23.34384858044164
2015-11-01,D,small_business,67,31.343283582089555
2015-11-01,D,vacation,32,12.5
2015-11-01,E,credit_card,284,33.098591549295776
2015-11-01,E,debt_consolidation,1779,35.413153456998316
2015-11-01,E,home_improvement,187,27.807486631016044
2015-11-01,E,major_purchase,48,39.58333333333333
2015-11-01,E,medical,31,38.70967741935484
2015-11-01,E,other,169,36.68639053254438
2015-11-01,E,small_business,48,35.41666666666667
2015-11-01,F,credit_card,58,39.6551724137931
2015-11-01,F,debt_consolidation,429,40.55944055944056
2015-11-01,F,home_improvement,54,42.592592592592595
2015-11-01,F,other,50,42.0
2015-11-01,G,debt_consolidation,94,47.87234042553192
2015-12-01,A,car,73,1.36986301369863
2015-12-01,A,credit_card,2897,4.832585433206766
2015-12-01,A,debt_consolidation,3610,5.540166204986149
2015-12-01,A,home_improvement,576,4.6875
2015-12-01,A,major_purchase,193,6.7357512953367875
2015-12-01,A,medical,42,0.0
2015-12-01,A,other,184,5.434782608695652
2015-12-01,B,car,135,8.88888888888889
2015-12-01,B,credit_card,4098,13.250366032210833
2015-12-01,B,debt_consolidation,7153,12.819795889836433
2015-12-01,B,home_improvement,786,12.849872773536896
2015-12-01,B,major_purchase,278,12.23021582733813
2015-12-01,B,medical,126,13.492063492063492
2015-12-01,B,moving,46,8.695652173913043
2015-12-01,B,other,611,9.165302782324058
2015-12-01,B,small_business,48,16.666666666666664
2015-12-01,B,vacation,62,12.903225806451612
2015-12-01,C,car,111,16.216216216216218
2015-12-01,C,credit_card,2798,20.335954253037883
2015-12-01,C,debt_consolidation,7525,20.372093023255815
2015-12-01,C,home_improvement,692,21.965317919075144
2015-12-01,C,house,50,8.0
2015-12-01,C,major_purchase,245,20.816326530612244
2015-12-01,C,medical,208,18.75
2015-12-01,C,moving,94,15.957446808510639
2015-12-01,C,other,940,15.53191489361702
2015-12-01,C,small_business,160,20.0
2015-12-01,C,vacation,107,19.626168224299064
2015-12-01,D,car,49,24.489795918367346
2015-12-01,D,credit_card,927,28.694714131607334
2015-12-01,D,debt_consolidation,3895,30.860077021822853
2015-12-01,D,home_improvement,361,23.545706371191137
2015-12-01,D,house,44,36.36363636363637
2015-12-01,D,major_purchase,114,31.57894736842105
2015-12-01,D,medical,88,39.77272727272727
2015-12-01,D,moving,61,26.229508196721312
2015-12-01,D,other,468,24.145299145299145
